kernel.name,not_clear
A71,1
A72,1
A73,1
A74,1
A75,1
A76,1
A77,1
A78,1
A79,1
A80,1
A471,1
A472,1
A473,1
A474,1
A475,1
A476,1
A477,1
A478,1
A479,1
A480,1
A601,1
A602,1
A603,1
A604,1
A605,1
A606,1
A607,1
A608,1
A609,1
A610,1
H01,1
H02,1
H03,1
H04,1
H05,1
H06,1
H07,1
H08,1
H09,1
H10,1
H11,1
H12,1
H13,1
H14,1
H15,1
H16,1
H17,1
H18,1
H41,1
H42,1
H43,1
H44,1
H45,1
H46,1
H47,1
H48,1
H49,1
H50,1
H71,1
H72,1
H73,1
H74,1
H75,1
H76,1
H77,1
H78,1
H79,1
H80,1
H91,1
H92,1
H93,1
H94,1
H95,1
H96,1
H97,1
H98,1
H99,1
H100,1
H101,1
H102,1
H103,1
H104,1
H105,1
H106,1
H107,1
H108,1
H109,1
H110,1
H221,1
H222,1
H223,1
H224,1
H225,1
H226,1
H227,1
H228,1
H229,1
H230,1
H251,1
H252,1
H253,1
H254,1
H255,1
H256,1
H257,1
H258,1
H259,1
H260,1
H261,1
H262,1
H263,1
H264,1
H265,1
H266,1
H267,1
H268,1
H269,1
H270,1
H291,1
H292,1
H293,1
H294,1
H295,1
H296,1
H297,1
H298,1
H299,1
H300,1
H321,1
H322,1
H323,1
H324,1
H325,1
H326,1
H327,1
H328,1
H329,1
H330,1
H341,1
H342,1
H343,1
H344,1
H345,1
H346,1
H347,1
H348,1
H349,1
H350,1
H351,1
H352,1
H353,1
H354,1
H355,1
H356,1
H357,1
H358,1
H359,1
H360,1
H371,1
H372,1
H373,1
H374,1
H375,1
H376,1
H377,1
H378,1
H379,1
H380,1
H421,1
H422,1
H423,1
H424,1
H425,1
H426,1
H427,1
H428,1
H429,1
H430,1
H431,1
H432,1
H433,1
H434,1
H435,1
H436,1
H437,1
H438,1
H439,1
H440,1
H451,1
H452,1
H453,1
H454,1
H455,1
H456,1
H457,1
H458,1
H459,1
H460,1
H501,1
H502,1
H503,1
H504,1
H505,1
H506,1
H507,1
H508,1
H509,1
H510,1
H511,1
H512,1
H513,1
H514,1
H515,1
H516,1
H517,1
H518,1
H519,1
H520,1
H531,1
H532,1
H533,1
H534,1
H535,1
H536,1
H537,1
H538,1
H539,1
H540,1
H541,1
H542,1
H543,1
H544,1
H545,1
H546,1
H547,1
H548,1
H549,1
H550,1
H551,1
H552,1
H553,1
H554,1
H555,1
H556,1
H557,1
H558,1
H559,1
H560,1
H581,1
H582,1
H583,1
H584,1
H585,1
H586,1
H587,1
H588,1
H589,1
H590,1
H591,1
H592,1
H593,1
H594,1
H595,1
H596,1
H597,1
H598,1
H599,1
H600,1
H681,1
H682,1
H683,1
H684,1
H685,1
H686,1
H687,1
H688,1
H689,1
H690,1
H691,1
H692,1
H693,1
H694,1
H695,1
H696,1
H697,1
H698,1
H699,1
H700,1
