id,line
1,Ye478
2,郑58
3,京724
4,京725
5,京4055
6,京MC01
7,京464
8,京B547
9,X178
10,齐319
11,Mo17
12,LH287?
13,黄早4
14,昌7-2
15,lx9801
16,吉853
17,京2416
18,丹340
19,B73
20,LH202
21,LH195
22,PH6WC
23,PHG39
24,PHW52
25,PHP85
26,PHRE1
27,PHRE1
29,LH51
31,Oh43
32,LH59
33,W117
36,PH207
37,B8328
38,B164
39,DK3IIH6
40,DK3IIH6
41,NP911
42,NP912
43,LH123
44,LH185
46,LH82
47,F2
48,F7
50,素湾1611
51,S37
52,A318
53,京388
54,京24
55,D9H
56,Xianyu027M
57,FAPW
58,LH123Ht
59,PH1CRW
60,PHF1J
61,PHEHG
49,DMY1F(KWS49)
34,PHK56
35,PHN46
28,PHP38
30,LH216
